date,BL15,trend,season,resid
2016/11/17,122558,122201.4326,-911.559153,1268.12652
2016/11/18,141447,118845.9227,11504.13698,11096.94031
2016/11/19,147351,115790.8649,15101.33831,16458.79682
2016/11/20,122362,112594.9109,-9416.789335,19183.87841
2016/11/21,122200,109170.0358,-4283.838557,17313.80281
2016/11/22,98926,105692.0612,-5914.864053,-851.1971905
2016/11/23,95826,102410.3826,-5675.933326,-908.4493057
2016/11/24,98865,100475.7058,-688.0388179,-922.6670157
2016/11/25,108973,99216.45821,10389.55554,-633.0137516
2016/11/26,111889,98157.04865,14531.33215,-799.380807
2016/11/27,87068,97240.35289,-8394.934091,-1777.4188
2016/11/28,89805,96483.20513,-6032.549226,-645.6559015
2016/11/29,90417,95923.95664,-5559.840182,52.88353797
2016/11/30,91350,95557.37834,-4464.861958,257.4836144
2016/12/1,92105,95389.47084,-1886.557688,-1397.913151
2016/12/2,105199,95411.45756,10821.48624,-1033.943803
2016/12/3,112171,95557.18135,16725.30894,-111.4902922
2016/12/4,87688,95780.36184,-7175.298038,-917.0638036
2016/12/5,87083,96104.89206,-8035.931382,-985.9606785
2016/12/6,90733,96590.67203,-6464.292589,606.6205553
2016/12/7,93694,97165.86122,-5053.026971,1581.165748
2016/12/8,93571,97707.82814,-2446.3004,-1690.527744
2016/12/9,109433,98220.80122,11399.37696,-187.178183
2016/12/10,122339,98764.57245,18414.82343,5159.604123
2016/12/11,95958,99323.25273,-5537.86422,2172.611492
2016/12/12,90122,99895.34697,-9474.95358,-298.3933879
2016/12/13,91201,100506.7694,-7468.939567,-1836.82985
2016/12/14,94278,101137.0444,-6220.529772,-638.5146546
2016/12/15,100463,101740.737,-2578.160354,1300.42332
2016/12/16,114465,102351.847,12233.76372,-120.6107704
2016/12/17,123172,102993.3,19979.10744,199.5925962
2016/12/18,99086,103665.907,-4821.628988,241.7219912
2016/12/19,93411,104328.0623,-10379.3014,-537.7608571
2016/12/20,97160,104973.5962,-8499.040853,685.4446855
2016/12/21,97511,105615.8423,-7192.161299,-912.6810148
2016/12/22,103744,106197.7294,-2487.347819,33.61843018
2016/12/23,120360,106680.426,13373.22296,306.3510427
2016/12/24,128999,106991.8008,21532.46512,474.7340402
2016/12/25,104635,107131.535,-5129.103712,2632.568694
2016/12/26,98863,107088.4494,-10766.30133,2540.851981
